mean radius,mean texture,mean perimeter,mean area,mean smoothness,target
17.99,10.38,122.8,1001.0,0.1184,0
20.57,17.77,132.9,1326.0,0.08474,0
19.69,21.25,130.0,1203.0,0.1096,0
11.42,20.38,77.58,386.1,0.1425,0
20.29,14.34,135.1,1297.0,0.1003,0
12.45,15.7,82.57,477.1,0.1278,0
18.25,19.98,119.6,1040.0,0.09463,0
13.71,20.83,90.2,577.9,0.1189,0
13.0,21.82,87.5,519.8,0.1273,0
12.46,24.04,83.97,475.9,0.1186,0
16.02,23.24,102.7,797.8,0.08206,0
15.78,17.89,103.6,781.0,0.0971,0
19.17,24.8,132.4,1123.0,0.0974,0
15.85,23.95,103.7,782.7,0.08401,0
13.73,22.61,93.6,578.3,0.1131,0
14.54,27.54,96.73,658.8,0.1139,0
14.68,20.13,94.74,684.5,0.09867,0
16.13,20.68,108.1,798.8,0.117,0
19.81,22.15,130.0,1260.0,0.09831,0
13.54,14.36,87.46,566.3,0.09779,1
13.08,15.71,85.63,520.0,0.1075,1
9.504,12.44,60.34,273.9,0.1024,1
15.34,14.26,102.5,704.4,0.1073,0
21.16,23.04,137.2,1404.0,0.09428,0
16.65,21.38,110.0,904.6,0.1121,0
17.14,16.4,116.0,912.7,0.1186,0
14.58,21.53,97.41,644.8,0.1054,0
18.61,20.25,122.1,1094.0,0.0944,0
15.3,25.27,102.4,732.4,0.1082,0
17.57,15.05,115.0,955.1,0.09847,0
18.63,25.11,124.8,1088.0,0.1064,0
11.84,18.7,77.93,440.6,0.1109,0
17.02,23.98,112.8,899.3,0.1197,0
19.27,26.47,127.9,1162.0,0.09401,0
16.13,17.88,107.0,807.2,0.104,0
16.74,21.59,110.1,869.5,0.0961,0
14.25,21.72,93.63,633.0,0.09823,0
13.03,18.42,82.61,523.8,0.08983,1
14.99,25.2,95.54,698.8,0.09387,0
13.48,20.82,88.4,559.2,0.1016,0
13.44,21.58,86.18,563.0,0.08162,0
10.95,21.35,71.9,371.1,0.1227,0
19.07,24.81,128.3,1104.0,0.09081,0
13.28,20.28,87.32,545.2,0.1041,0
13.17,21.81,85.42,531.5,0.09714,0
18.65,17.6,123.7,1076.0,0.1099,0
8.196,16.84,51.71,201.9,0.086,1
13.17,18.66,85.98,534.6,0.1158,0
12.05,14.63,78.04,449.3,0.1031,1
13.49,22.3,86.91,561.0,0.08752,1
11.76,21.6,74.72,427.9,0.08637,1
13.64,16.34,87.21,571.8,0.07685,1
11.94,18.24,75.71,437.6,0.08261,1
18.22,18.7,120.3,1033.0,0.1148,0
15.1,22.02,97.26,712.8,0.09056,0
11.52,18.75,73.34,409.0,0.09524,1
19.21,18.57,125.5,1152.0,0.1053,0
14.71,21.59,95.55,656.9,0.1137,0
13.05,19.31,82.61,527.2,0.0806,1
8.618,11.79,54.34,224.5,0.09752,1
10.17,14.88,64.55,311.9,0.1134,1
8.598,20.98,54.66,221.8,0.1243,1
14.25,22.15,96.42,645.7,0.1049,0
9.173,13.86,59.2,260.9,0.07721,1
12.68,23.84,82.69,499.0,0.1122,0
14.78,23.94,97.4,668.3,0.1172,0
9.465,21.01,60.11,269.4,0.1044,1
11.31,19.04,71.8,394.1,0.08139,1
9.029,17.33,58.79,250.5,0.1066,1
12.78,16.49,81.37,502.5,0.09831,1
18.94,21.31,123.6,1130.0,0.09009,0
8.888,14.64,58.79,244.0,0.09783,1
17.2,24.52,114.2,929.4,0.1071,0
13.8,15.79,90.43,584.1,0.1007,0
12.31,16.52,79.19,470.9,0.09172,1
16.07,19.65,104.1,817.7,0.09168,0
13.53,10.94,87.91,559.2,0.1291,1
18.05,16.15,120.2,1006.0,0.1065,0
20.18,23.97,143.7,1245.0,0.1286,0
12.86,18.0,83.19,506.3,0.09934,1
11.45,20.97,73.81,401.5,0.1102,1
13.34,15.86,86.49,520.0,0.1078,1
25.22,24.91,171.5,1878.0,0.1063,0
19.1,26.29,129.1,1132.0,0.1215,0
12.0,15.65,76.95,443.3,0.09723,1
18.46,18.52,121.1,1075.0,0.09874,0
14.48,21.46,94.25,648.2,0.09444,0
19.02,24.59,122.0,1076.0,0.09029,0
12.36,21.8,79.78,466.1,0.08772,1
14.64,15.24,95.77,651.9,0.1132,1
14.62,24.02,94.57,662.7,0.08974,1
15.37,22.76,100.2,728.2,0.092,0
13.27,14.76,84.74,551.7,0.07355,1
13.45,18.3,86.6,555.1,0.1022,1
15.06,19.83,100.3,705.6,0.1039,0
20.26,23.03,132.4,1264.0,0.09078,0
12.18,17.84,77.79,451.1,0.1045,1
9.787,19.94,62.11,294.5,0.1024,1
11.6,12.84,74.34,412.6,0.08983,1
14.42,19.77,94.48,642.5,0.09752,0
